"cliente","cidade","estado","cpf","cnpj","produto","quantidade","valor_unitário","valor_custo","valor_total","data_venda","tipo_frete","valor_frete","status_venda"
"João Victor Ribeiro","Belém","PA","178.754.043-55","","Bolsa de Viagem","26","4819.51","2784.48","125307.26","30/08/2023","FOB","","Cancelada"
"Larissa Ferreira","Manaus","AM","450.010.242-24","","Bloco de Notas","18","4507.09","2501.09","81127.62","09/07/2024","FOB","","Em Análise"
"TechInfo Solutions","Manaus","AM","","23.142.529/9475-25","Óculos de Sol","15","7395.88","3325.08","110938.2","16/06/2024","FOB","","Concluída"
"CenterPro Equipamentos","Manaus","AM","","16.698.635/0233-57","Lápis de Cor","17","5968.82","4394.3","101469.94","05/12/2023","FOB","","Concluída"
"Ribeiro Equipamentos","Rio de Janeiro","RJ","","21.859.188/4400-92","Bloco de Notas","3","5651.58","2501.09","16954.74","27/02/2024","FOB","","Cancelada"
"Mirella Castro","Belém","PA","204.535.546-30","","Estojo Escolar","9","6065.05","3148.44","54585.45","13/12/2023","CIF","55.86","Cancelada"
"Mirella Castro","Belém","PA","204.535.546-30","","Smartphone Importado","8","132.21","62.82","1057.68","30/06/2024","FOB","","Em Análise"
"Moura & Filhos ME","Brasília","DF","","35.982.399/2390-09","Kit Gamer Completo","14","7642.13","2818.98","106989.82","05/14/2024","CIF","192.18","Pendente"
"UniFlex Comercial","Manaus","AM","","53.020.698/5267-01","Bolsa de Viagem","26","4069.74","2508.59","105813.24","12/06/2024","FOB","","Concluída"
"Lucas Barros","São Paulo","SP","313.198.334-79","","Monitor Full HD","1","6774.22","3155.39","6774.22","12/06/2023","CIF","186.15","Concluída"
"Rogério Matos","São Paulo","SP","263.971.756-39","","","9","1707.77","646.73","15369.93","04/08/2024","CIF","77.17","Concluída"
"Mirella Castro","Belém","PA","204.535.546-30","","Carteira Masculina","19","6523.54","3750.55","123947.26","14/10/2024","CIF","60.73","Concluída"
"Beatriz Correia","Salvador","BA","511.440.560-17","","Drone Compacto","8","1918.96","1142.1","15351.68","06/23/2023","CIF","192.2","Em Análise"
"Ana Paula Silva","Brasília","DF","862.295.268-57","","Caixa de Som Smart","21","10841.44","4985.88","227670.24","23/10/2023","CIF","180.37","Concluída"
"Mercado Novo Sul","Rio de Janeiro","RJ","","48.793.803/7889-04","Mesa de Escritório","15","2129.14","1177.07","31937.1","03/29/2023","FOB","","Concluída"
"Fernanda Almeida","Recife","PE","726.932.467-29","","Notebook Gamer","10","1421.96","646.73","14219.6","16/04/2024","CIF","88.71","Em Análise"
"Patrícia Moura","Porto Alegre","RS","446.073.750-07","","Mouse Sem Fio","9","4641.92","1976.38","41777.28","06/04/2024","CIF","95.89","Pendente"
"Prime Office Supplies","Belém","PA","","15.193.269/0057-63","Teclado Mecânico","22","3712.53","3071.9","81675.66","02/02/2024","FOB","","Cancelada"
"UniFlex Comercial","Manaus","AM","","53.020.698/5267-01","Marcador Permanente","20","8120.12","2975.84","162402.4","25/10/2023","CIF","152.86","Cancelada"
"Hugo Martins","Manaus","AM","181.125.206-47","","Mesa Gamer","3","5491.61","2914.11","16474.83","31/01/2023","CIF","182","Concluída"
"TechInfo Solutions","Manaus","AM","","23.142.529/9475-25","Caixa de Som Smart","30","3585.34","2039.04","107560.2","06/11/2024","FOB","","Em Análise"
"Global Trade Importações","Porto Alegre","RS","","36.069.625/1720-12","Mini Projetor","18","741.96","266.3","13355.28","06/17/2023","FOB","","Em Análise"
"Carlos Eduardo Lima","Brasília","DF","768.734.911-59","","Caderno Universitário","21","4146.83","1559.44","87083.43","06/14/2023","CIF","65.18","Em Análise"
"Rafael Andrade","Porto Alegre","RS","618.986.735-72","","Pulseira Esportiva","17","2859.57","1499.98","48612.69","08/01/2024","CIF","142.05","Concluída"
"Rafael Andrade","Porto Alegre","RS","618.986.735-72","","Pulseira Esportiva","17","2859.57","1499.98","48612.69","08/01/2024","CIF","142.05","Concluída"
"Comercial Andrade Ltda","Curitiba","PR","","55.537.611/1556-06","Estante de Livros","16","613.69","221.25","9819.04","11/10/2024","FOB","","Cancelada"
"TechInfo Solutions","Manaus","AM","","23.142.529/9475-25","Kit Gamer Completo","28","3465.73","2818.98","97040.44","18/07/2024","FOB","","Concluída"
"Hugo Martins","Manaus","AM","181.125.206-47","","","3","9731.65","4704.27","29194.95","21/06/2024","CIF","169.79","Em Análise"
"Camila Pires","Manaus","AM","899.777.131-83","","","20","1425.54","895.52","28510.8","30/07/2024","FOB","","Pendente"
"Patrícia Moura","Porto Alegre","RS","446.073.750-07","","Monitor Full HD","24","4109.44","2142.21","98626.56","08/17/2023","CIF","155.37","Pendente"
"Renato Carvalho","Recife","PE","071.142.172-58","","Bolsa de Viagem","5","6100.26","2377.28","30501.3","17/08/2024","CIF","33.54","Cancelada"
"Ribeiro Equipamentos","Rio de Janeiro","RJ","","21.859.188/4400-92","Armário de Aço","23","5527.8","2215.21","127139.4","10/26/2024","CIF","183.58","Cancelada"
"Patrícia Moura","Porto Alegre","RS","446.073.750-07","","Mochila Executiva","","5133.76","3742.9","25668.8","23/06/2023","CIF","36.85","Em Análise"
"Prime Office Supplies","Belém","PA","","15.193.269/0057-63","Mesa de Escritório","3","4290.45","2558.46","12871.35","04/11/2024","CIF","20.69","Concluída"
"Rafael Andrade","Porto Alegre","Prr","618.986.735-72","","Óculos de Sol","3","7476.07","4782.9","22428.21","14/09/2023","CIF","163.75","Pendente"
"João Victor Ribeiro","Belém","PA","178.754.043-55","","Caixa de Som Smart","5","6191.38","4985.88","30956.9","24/06/2024","FOB","","Cancelada"
"João Victor Ribeiro","Belém","PA","178.754.043-55","","Caixa de Som Smart","5","6191.38","4985.88","30956.9","24/06/2024","FOB","","Cancelada"
"Juliana Souza","Rio de Janeiro","RJ","790.436.054-86","","Smartphone Importado","13","8190.22","3222.18","106472.86","06/04/2024","FOB","","Cancelada"
"Daniel Lobo","São Paulo","SP","550.369.280-76","","Fone Bluetooth","30","10454.43","4459.8","313632.9","05/19/2023","CIF","103.27","Concluída"
"Daniel Lobo","São Paulo","SP","550.369.280-76","","Fone Bluetooth","30","10454.43","4459.8","313632.9","05/19/2023","CIF","103.27","Concluída"
"Mercado Novo Sul","Rio de Janeiro","RJ","","48.793.803/7889-04","Lápis de Cor","","3145.05","1193.53","44030.7","03/05/2023","FOB","","Pendente"
"Moura & Filhos ME","Brasília","DF","","35.982.399/2390-09","Marcador Permanente","20","431.96","198","8639.2","16/04/2023","CIF","195.42","Cancelada"
"Prime Office Supplies","Belém","PA","","15.193.269/0057-63","Carteira Masculina","22","4600.97","2602.2","101221.34","02/16/2023","FOB","","Concluída"
"Mercado Novo Sul","Rio de Janeiro","RJ","","48.793.803/7889-04","Marcador Permanente","14","10153.17","4397.9","142144.38","29/04/2023","FOB","","Pendente"
"Mercado Novo Sul","Rio de Janeiro","RJ","","48.793.803/7889-04","Drone Compacto","3","2154.14","1142.1","6462.42","01/09/2023","FOB","","Em Análise"
"Ribeiro Equipamentos","Rio de Janeiro","RJ","","21.859.188/4400-92","Gaveteiro com Rodas","19","5265.93","2922.21","100052.67","01/21/2023","FOB","","Pendente"
